,Date,Description,Location
0,1/25/2022 20:27,Bank alarm,8200 BLOCK LEEVISTA BLVD
1,1/25/2022 20:21,Accident (minor),S KIRKMAN RD / MAJOR BLVD
2,1/25/2022 20:18,Accident with road blockage,S KIRKMAN RD / L B MCLEOD RD
3,1/25/2022 20:17,911 hang up,9400 BLOCK JEFF FUQUA BLVD
4,1/25/2022 20:16,Stolen/lost tag,4600 BLOCK ALHAMA ST
5,1/25/2022 20:16,Accident (injuries),VINELAND RD / RADEBAUGH WAY
6,1/25/2022 20:14,Suspicious incident,4600 BLOCK S SEMORAN BLVD
7,1/25/2022 20:08,Accident (minor),E PRINCETON ST / N ORANGE AVE
8,1/25/2022 20:07,Battery - fight in progress,2200 BLOCK E COLONIAL DR
9,1/25/2022 20:07,Suspicious incident,900 BLOCK W WASHINGTON ST
10,1/25/2022 20:07,Illegally parked cars,9200 BLOCK JEFF FUQUA BLVD
11,1/25/2022 20:05,Drug violation,1300 BLOCK CAROLINE PARK
12,1/25/2022 20:01,Other sex crimes,Restricted Address
13,1/25/2022 19:52,Designated Patrol Area - available,HERTZ OVERFLOW / CARGO RD
14,1/25/2022 19:40,General investigation,9400 BLOCK JEFF FUQUA BLVD
15,1/25/2022 19:36,Battery,700 BLOCK S IVEY LN
16,1/25/2022 19:31,Commercial alarm,4500 BLOCK L B MCLEOD RD
17,1/25/2022 19:23,General disturbance,600 BLOCK N ORANGE AVE
18,1/25/2022 19:17,Accident (minor),1600 BLOCK E COLONIAL DR
19,1/25/2022 19:06,Trespasser,4300 BLOCK CURRY FORD RD
20,1/25/2022 18:58,Battery,W ANDERSON ST / S WESTMORELAND DR
21,1/25/2022 18:50,Designated Patrol Area - available,9300 BLOCK JEFF FUQUA BLVD
22,1/25/2022 18:49,Accident (injuries),4300 BLOCK S SEMORAN BLVD
23,1/25/2022 18:47,Accident with road blockage,800 BLOCK EDGEWATER DR
24,1/25/2022 18:45,Accident with road blockage,N JOHN YOUNG PKWY / W COLONIAL DR
25,1/25/2022 17:54,Missing person - adult,1000 BLOCK S KIRKMAN RD
26,1/25/2022 8:48,Suspicious person,5700 BLOCK ST CHARLES PRADO
